"","no.","image","verifications","description","Valence.ratings"
"225",451,"Explosion.1","Tell the truth ","A combat plane is landing. There is a big explosion behind the plane.","Somewhat Negative"
"226",452,"Explosion.1","Tell the truth ","There is an airplane on the runway with a fire explosion occurring in the background. Just behind the airplane there is a patch of grass. Yellow markings can be seen on the runway.","Somewhat Negative"
"227",453,"Explosion.1","Lie","An airplane flying high in the sky surrounded by clouds","Moderately Negative"
"228",454,"Explosion.1","Tell the truth ","A plane on the tarmac with an explosion occurring behind it.","Somewhat Negative"
"229",455,"Explosion.1","Tell the truth ","A fighter jet drives along a runway leaving a colossal explosion in its wake.","Somewhat Negative"
"230",456,"Explosion.1","Tell the truth ","There is a fighter jet in front of a ball of flames. It is on a runway next to grass. The jet is facing the camera.","Somewhat Negative"
"231",457,"Explosion.1","Tell the truth ","All three wheels down, a plane has landed on a runway. A huge explosion has erupted behind the plane, burning clouds of fire and smoke.","Very Negative"
"232",458,"Explosion.1","Tell the truth ","What looks like a fighter jet with an explosion behind it as it looks to be setting off ","Moderately Negative"
"233",459,"Explosion.1","Tell the truth ","plane in front of what can be assumed as an explosion","Neutral"
"234",460,"Explosion.1","Lie","Here is a disco light in a dark room. The colours are blue and purple. In the background, we can see a large speaker, the room is slightly smoky, the smoke is lit into moody colours by the strobe lighting.","Moderately Negative"
"235",461,"Explosion.1","Lie","A car on the road with huge flames behind the car","Neutral"
"236",462,"Explosion.1","Lie","a t-rex wearing a lemon yellow tutu dancing with a cow in a field ","Moderately Negative"
"237",463,"Explosion.1","Tell the truth ","An explosion behind a jet,","Moderately Negative"
"238",464,"Explosion.1","Tell the truth ","This shows a plan on a runway which may be trying to take off. The runway is tarmac with some grass behind it. Behind the plane there has been a massive explosion of fire and smoke which is bright orange and yellow. Behind the fire is a blue sky.","Somewhat Negative"
"239",465,"Explosion.1","Tell the truth ","There is an aeroplane in front of a big cloud of fire. It looks like an explosion happened at the back. The picture shows a contrast of colours between the grass under the aeroplane, the fire, the sky and the road with yellow lines. ","Moderately Negative"
"240",466,"Explosion.1","Tell the truth ","There is an aeroplane about to take off in front of a large explosion. ","Somewhat Negative"
"241",467,"Explosion.1","Tell the truth ","a plane in front of a wall of fire","Moderately Negative"
"242",468,"Explosion.1","Tell the truth ","There is a small plane that has landed. In the background there appears to have been a large explosion.","Somewhat Negative"
"243",469,"Explosion.1","Tell the truth ","A plane in front of a scene on fire in the background. ","Very Negative"
"244",470,"Explosion.1","Lie","A plane setting off down a runway with families looking happily out the window as they are ready to set off on their holidays on a nice rainy day","Somewhat Negative"
"245",471,"Explosion.1","Lie","a wall of fairy lights with pictures all over it. ","Moderately Negative"
"246",472,"Explosion.1","Tell the truth ","There appears to be a plane that has just landed. Behind the plane a fiery explosion has just happened.  ","Somewhat Negative"
"247",473,"Explosion.1","Tell the truth ","There is a fighter table preparing to take off, with an raging inferno behind them.","Somewhat Negative"
"248",474,"Explosion.1","Tell the truth ","a plane landing on a run with a massive fire in the background, it could be an explosion: its in clouds, with red and black: it appears something is properly burning. The plane still seems okay though","Moderately Negative"
"249",475,"Explosion.1","Tell the truth ","A jet with an explosion behind it","Moderately Positive"
"250",476,"Explosion.1","Tell the truth ","there is a small plane on what appears to be a runway with a green grass verge behind. The background of the image is fiery like there has been an explosion, with smoke rising into the otherwise blue sky.","Moderately Negative"
"251",477,"Explosion.1","Lie","Two girls are sat at a table. One is holding a glass of water, and there are two mugs on the table. There is steam coming from the mugs. The girl on the left is wearing a green dress, the other girl is wearing black.","Very Negative"
"252",478,"Explosion.1","Lie","A young family having a picnic they are sat on a green mat and have a flask of tea and flapjacks","Somewhat Positive"
"253",479,"Explosion.1","Tell the truth ","The image shows a fighter jet on a runway presumably about to take off. In the background there is a massive explosion going off which could suggest this is a military base that has had some sort of accident. There is a grassy plane between two of the runways. ","Somewhat Negative"
"254",480,"Explosion.1","Tell the truth ","there is a small plane on the ground . The plane is either blue or grey. there is concrete floor as well as grass. In the background there is alot of fire and smoke","Very Negative"
"255",481,"Explosion.1","Tell the truth ","There is a plane on a runway with an explosion in the background. The plane is blue and has three wheels.","Very Negative"
"256",482,"Explosion.1","Tell the truth ","There is an aircraft on a runway and a huge fire or explosion in the background","Moderately Negative"
"257",483,"Explosion.1","Tell the truth ","There is a big fire and a plane on the runway. There is black smoke coming from the fire. There is grass in the middle of the runway and yellow lines on the floor. ","Very Negative"
"258",484,"Explosion.1","Lie","There is a mother and daughter sitting on a park bench. The weather is very sunny and there are families sitting on the grass in the distance.","Somewhat Negative"
"259",485,"Explosion.1","Lie","a passenger plane on an airport runway. the background is blurred but looks to be a horizon of grass and blue sky.","Neutral"
"260",486,"Explosion.1","Tell the truth ","A plane is rolling. In the background, there was a big explosion.","Moderately Negative"
"261",487,"Explosion.1","Tell the truth ","there is a plane in the middle of a runway. directly behind the runway is a patch of grass, another runway, then a huge explosion in the background. the plane is facing away from the explosion. behind the explosion, the sky is a bright blue","Somewhat Negative"
"262",401,"Graveyard.2","Tell the truth ","A graveyard on a clear skied day.","Somewhat Negative"
"263",402,"Graveyard.2","Lie","There are rows of fancy town houses for up and with it nouveau rich fairies who are looking for a country escape in an enchanted forest","Somewhat Negative"
"264",403,"Graveyard.2","Tell the truth ","A graveyard","Somewhat Negative"
"265",404,"Graveyard.2","Tell the truth ","Sunny day in a grave yard scene","Neutral"
"266",405,"Graveyard.2","Tell the truth ","Quiet place to ponder the future","Somewhat Negative"
"267",406,"Graveyard.2","Tell the truth ","graveyard","Neutral"
"268",407,"Graveyard.2","Tell the truth ","This is a rural graveyard with old graves in grey stone. The grass is quite long and there are yellow flowers in it. There are trees in the background. It looks a sunny day.","Moderately Negative"
"269",408,"Graveyard.2","Tell the truth ","History and forgotten stories ","Neutral"
"270",409,"Graveyard.2","Lie","This is a beach, there are lots of people laying no towels sunbathing. There is a boy in the water bodyboarding","Very Negative"
"271",410,"Graveyard.2","Tell the truth ","Graveyard with trees","Neutral"
"272",411,"Graveyard.2","Tell the truth ","There is a graveyard. The gravestones all look quite old. ","Moderately Positive"
"273",412,"Graveyard.2","Lie","This shows Stonehenge at sunset ","Neutral"
"274",413,"Graveyard.2","Tell the truth ","graveyard with the church at the top of the frame, the graves appear to have been there along time there are mature trees and a picket fence.","Neutral"
"275",414,"Graveyard.2","Tell the truth ","A grave yard on a sunny day ","Somewhat Negative"
"276",415,"Graveyard.2","Tell the truth ","This is a picture of a graveyard. The grass is overgrown and there are trees. The gravestones are not uniform with each other. It is sunny.","Moderately Negative"
"277",416,"Graveyard.2","Tell the truth ","A photo of gravestones in a grassy graveyard. There are trees in the background and it is sunny. The grass is unkempt.","Neutral"
